,compound,create_date,negative,neutral,news_media,positive,tweets_ago
45,0.0,2017-09-20 07:35:42+00:00,0.0,1.0,BBC,0.0,-45
46,0.2003,2017-09-20 07:35:34+00:00,0.091,0.785,BBC,0.124,-46
47,0.0,2017-09-20 07:35:24+00:00,0.0,1.0,BBC,0.0,-47
48,-0.2263,2017-09-20 07:35:07+00:00,0.101,0.899,BBC,0.0,-48
49,0.2716,2017-09-20 07:34:54+00:00,0.0,0.884,BBC,0.116,-49
50,0.6037,2017-09-20 07:34:45+00:00,0.047,0.75,BBC,0.203,-50
51,0.2732,2017-09-20 07:19:06+00:00,0.0,0.84,BBC,0.16,-51
52,0.0,2017-09-20 07:01:05+00:00,0.0,1.0,BBC,0.0,-52
53,0.0,2017-09-20 06:36:03+00:00,0.0,1.0,BBC,0.0,-53
54,0.0,2017-09-19 18:37:03+00:00,0.0,1.0,BBC,0.0,-54
55,0.4574,2017-09-19 17:45:04+00:00,0.0,0.786,BBC,0.214,-55
56,0.0,2017-09-19 16:55:05+00:00,0.0,1.0,BBC,0.0,-56
57,0.0,2017-09-19 16:25:06+00:00,0.0,1.0,BBC,0.0,-57
58,0.8176,2017-09-19 16:02:03+00:00,0.0,0.638,BBC,0.362,-58
59,-0.7297,2017-09-19 15:22:52+00:00,0.358,0.642,BBC,0.0,-59
60,0.0,2017-09-19 15:21:06+00:00,0.0,1.0,BBC,0.0,-60
61,0.0,2017-09-19 15:15:54+00:00,0.0,1.0,BBC,0.0,-61
62,-0.1779,2017-09-19 15:01:45+00:00,0.209,0.684,BBC,0.106,-62
63,0.4466,2017-09-19 14:21:14+00:00,0.0,0.877,BBC,0.123,-63
64,0.4588,2017-09-19 13:00:07+00:00,0.08,0.752,BBC,0.168,-64
65,0.0,2017-09-19 12:38:50+00:00,0.0,1.0,BBC,0.0,-65
66,0.4389,2017-09-19 12:30:08+00:00,0.0,0.782,BBC,0.218,-66
67,0.7823,2017-09-19 12:13:01+00:00,0.0,0.636,BBC,0.364,-67
68,0.9049,2017-09-19 12:12:55+00:00,0.0,0.495,BBC,0.505,-68
69,0.0,2017-09-19 12:07:52+00:00,0.0,1.0,BBC,0.0,-69
70,0.3612,2017-09-19 12:05:48+00:00,0.0,0.872,BBC,0.128,-70
71,0.0,2017-09-19 12:05:11+00:00,0.0,1.0,BBC,0.0,-71
72,0.6124,2017-09-19 12:00:06+00:00,0.0,0.722,BBC,0.278,-72
